File_name	Segment	Dur	F0_min	F0_min_loc	F0_max	F0_max_loc	F0_mgnt	F0_changerate
GJF_si13	t13	0.317	86.94	0.17	128.56	0.94	41.62	170.31
GJF_si13	t13	0.346	91.37	0.23	128.01	0.89	36.64	161.05
GJF_si13	t13	0.309	88.24	0.30	93.37	0.50	5.13	81.07
GJF_si21	t21	0.273	77.09	0.85	87.38	0.11	-10.29	-50.54
GJF_si21	t21	0.279	76.18	0.82	87.88	0.06	-11.70	-55.21
GJF_si21	t21	0.244	80.52	0.81	85.67	0.06	-5.15	-28.30
GJF_si24	t24	0.335	90.16	0.27	407.59	1.00	317.43	1288.29
GJF_si24	t24	0.343	90.83	0.22	132.61	0.98	41.78	159.46
GJF_si24	t24	0.335	87.85	0.28	133.21	0.88	45.36	225.57
GJF_si24	t24	0.314	88.32	0.15	93.56	0.47	5.25	53.24
GJF_si24	t24	0.321	87.84	0.05	91.60	0.26	3.76	55.49
GJF_si24	t24	0.261	90.95	0.32	103.30	0.68	12.35	128.51
GJF_si34	t34	0.366	118.85	0.26	139.80	1.00	20.95	76.96
GJF_si34	t34	0.395	117.05	0.22	139.04	0.96	22.00	75.38
GJF_si34	t34	0.394	115.82	0.11	142.45	0.99	26.64	76.48
GJF_si42	t34	0.382	128.51	0.68	144.70	0.28	-16.20	-104.54
GJF_si42	t34	0.401	128.61	0.55	140.56	0.18	-11.95	-80.35
GJF_si42	t34	0.380	128.41	0.58	144.47	0.36	-16.07	-186.84
GJF_si45	t45	0.264	162.38	0.03	461.92	1.00	299.54	1173.44
GJF_si45	t45	0.293	149.53	0.06	206.97	0.87	57.44	242.41
GJF_si45	t45	0.280	158.59	0.06	217.94	0.88	59.35	259.40
LG_t13	t13	0.299	138.50	0.23	169.67	0.88	31.17	161.60
LG_t13	t13	0.276	133.78	0.24	169.22	0.87	35.44	202.06
LG_t13	t13	0.279	135.14	0.32	164.53	0.90	29.39	181.52
LG_t21	t21	0.256	NA	NA	NA	NA	NA	NA
LG_t21	t21	0.146	NA	NA	NA	NA	NA	NA
LG_t21	t21	0.236	NA	NA	NA	NA	NA	NA
LG_t24	t24	0.370	146.97	0.77	162.00	0.90	15.03	334.44
LG_t24	t24	0.396	149.03	0.77	180.28	0.91	31.25	565.87
LG_t24	t24	0.363	154.73	0.81	165.36	0.96	10.64	198.56
LG_t34	t34	0.274	183.39	0.07	210.84	0.80	27.44	136.54
LG_t34	t34	0.318	178.44	0.19	199.86	0.89	21.42	96.58
LG_t34	t34	0.301	172.87	0.33	202.32	0.86	29.45	182.93
LG_t43	t42	0.260	140.07	0.77	187.29	0.09	-47.22	-268.71
LG_t43	t42	0.216	141.01	0.82	205.17	0.03	-64.16	-374.28
LG_t43	t42	0.207	159.76	0.86	180.84	0.17	-21.07	-147.45
LG_t45	t45	0.181	215.00	0.09	282.89	0.75	67.90	560.46
LG_t45	t45	0.240	209.56	0.08	275.71	0.76	66.14	404.67
LG_t45	t45	0.203	204.66	0.08	268.84	0.85	64.18	407.94
SM_si13	t13	0.370	155.65	0.22	199.62	0.86	43.97	188.40
SM_si13	t13	0.344	164.45	0.31	194.53	0.91	30.08	145.33
SM_si13	t13	0.296	159.98	0.26	187.38	0.67	27.41	226.12
SM_si21	t21	0.255	146.80	0.90	198.18	0.10	-51.39	-252.43
SM_si21	t21	0.255	133.84	0.86	190.57	0.10	-56.73	-294.16
SM_si21	t21	0.217	132.32	0.87	178.55	0.18	-46.23	-308.22
SM_si34	t34	0.380	224.41	0.84	241.74	0.65	-17.34	-238.93
SM_si34	t34	0.396	220.99	0.74	233.81	0.63	-12.82	-285.07
SM_si34	t34	0.382	216.36	0.09	233.71	0.89	17.35	56.68
SM_si42	t42	0.318	147.73	0.95	247.24	0.09	-99.51	-359.83
