File_name	Segment	t	t_m	F0	Int
GJF_si13	t13	1	0.016	88.13	63.31
GJF_si13	t13	2	0.048	87.43	65.56
GJF_si13	t13	3	0.079	87.74	66.95
GJF_si13	t13	4	0.111	88.71	68.02
GJF_si13	t13	5	0.143	89.6	68.77
GJF_si13	t13	6	0.174	NA	70.8
GJF_si13	t13	7	0.206	NA	74.03
GJF_si13	t13	8	0.238	NA	75.54
GJF_si13	t13	9	0.269	127.75	75.91
GJF_si13	t13	10	0.301	127.97	74.7
GJF_si13	t13	1	0.017	92.05	64.55
GJF_si13	t13	2	0.052	92.03	66.8
GJF_si13	t13	3	0.087	91.74	67.15
GJF_si13	t13	4	0.121	92.65	67.67
GJF_si13	t13	5	0.156	95.38	69.24
GJF_si13	t13	6	0.19	101.35	71.89
GJF_si13	t13	7	0.225	NA	73.81
GJF_si13	t13	8	0.26	NA	74.96
GJF_si13	t13	9	0.294	126.83	74.74
GJF_si13	t13	10	0.329	127.21	69.98
GJF_si13	t13	1	0.015	90.42	63.36
GJF_si13	t13	2	0.046	89.34	65.37
GJF_si13	t13	3	0.077	88.54	66.39
GJF_si13	t13	4	0.108	88.72	67.22
GJF_si13	t13	5	0.139	91.04	68.18
GJF_si13	t13	6	0.17	93.37	70.55
GJF_si13	t13	7	0.201	NA	73.04
GJF_si13	t13	8	0.231	NA	73.67
GJF_si13	t13	9	0.262	NA	73.37
GJF_si13	t13	10	0.293	NA	70.29
GJF_si21	t21	1	0.014	87.38	62.37
GJF_si21	t21	2	0.041	86.54	64.46
GJF_si21	t21	3	0.068	83.78	64.22
GJF_si21	t21	4	0.096	81.46	64.07
GJF_si21	t21	5	0.123	80.5	63.99
GJF_si21	t21	6	0.15	79.56	62.96
GJF_si21	t21	7	0.178	78.19	61.92
GJF_si21	t21	8	0.205	77.47	61.25
GJF_si21	t21	9	0.232	77.16	60.37
GJF_si21	t21	10	0.26	NA	57.71
GJF_si21	t21	1	0.014	87.58	63.32
GJF_si21	t21	2	0.042	87.24	64.81
GJF_si21	t21	3	0.07	87.21	65.45
GJF_si21	t21	4	0.098	86.99	65.55
GJF_si21	t21	5	0.126	84.59	65.57
GJF_si21	t21	6	0.153	81.19	65.13
GJF_si21	t21	7	0.181	79.32	64.68
GJF_si21	t21	8	0.209	77.03	63.46
GJF_si21	t21	9	0.237	76.58	61.76
GJF_si21	t21	10	0.265	77.02	60.21
GJF_si21	t21	1	0.012	85.49	62.88
GJF_si21	t21	2	0.037	84.54	63.97
GJF_si21	t21	3	0.061	83.39	63.67
