File_name	Seg_num	Seg	Syll	t	t_m	F1	F2	F3	F4	COG	sdev	skew	kurt	
vowels.wav	26	au	t1	1	0.045	748	1058	2512	0	10462	5772	-0.9	-0.8
vowels.wav	26	au	t1	2	0.055	716	978	2496	0	12308	5506	-0.7	-0.2
vowels.wav	26	au	t1	3	0.064	687	932	2496	0	630	2283	7	53
vowels.wav	26	au	t1	4	0.074	726	874	2462	0	54	424	30	1155
vowels.wav	26	au	t1	5	0.084	740	798	2406	0	180	819	16	303
vowels.wav	26	au	t1	6	0.093	693	796	2399	0	38	411	31	1223
vowels.wav	26	au	t1	7	0.103	668	835	2371	0	37	403	32	1258
vowels.wav	26	au	t1	8	0.113	673	842	2338	0	46	449	29	1020
vowels.wav	26	au	t1	9	0.122	662	853	2368	0	66	575	23	627
vowels.wav	26	au	t1	10	0.132	606	855	2327	0	87	643	20	497
vowels.wav	26	au	t1	11	0.142	587	854	2234	0	72	624	22	575
vowels.wav	26	au	t1	12	0.151	582	852	2259	0	214	786	17	354
vowels.wav	26	au	t1	13	0.161	543	858	2339	0	173	770	18	390
vowels.wav	26	au	t1	14	0.171	522	859	2343	0	418	1381	10	114
vowels.wav	26	au	t1	15	0.180	510	872	2373	0	344	1028	12	177
vowels.wav	26	au	t1	16	0.190	513	879	2430	0	452	1304	10	126
vowels.wav	26	au	t1	17	0.200	512	876	2435	0	157	815	17	341
vowels.wav	26	au	t1	18	0.209	501	868	2421	0	368	1300	10	128
vowels.wav	26	au	t1	19	0.219	498	852	2454	0	191	975	15	248
vowels.wav	26	au	t1	20	0.229	493	832	2455	0	498	1226	11	150
vowels.wav	26	au	t1	21	0.238	489	808	2342	0	356	1087	13	197
vowels.wav	26	au	t1	22	0.248	488	795	2385	0	628	1411	10	112
vowels.wav	26	au	t1	23	0.258	498	790	2513	0	613	1519	9	103
vowels.wav	26	au	t1	24	0.267	498	752	2515	0	390	1321	11	141
vowels.wav	26	au	t1	25	0.277	506	705	2551	0	416	1515	10	105
vowels.wav	26	au	t1	26	0.287	497	697	2440	0	525	1417	10	116
vowels.wav	26	au	t1	27	0.296	454	700	2494	0	473	1026	14	226
vowels.wav	26	au	t1	28	0.306	445	729	2493	0	277	799	17	347
vowels.wav	26	au	t1	29	0.316	479	722	2400	0	422	1134	12	183
vowels.wav	26	au	t1	30	0.325	487	719	2396	0	578	1541	10	103
vowels.wav	28	au	t1	1	0.045	788	1492	2401	0	10947	5791	-1	-0.6
vowels.wav	28	au	t1	2	0.055	744	1275	2371	0	12697	5459	-0.8	-0.2
vowels.wav	28	au	t1	3	0.064	675	1048	2322	0	725	2359	7	46
vowels.wav	28	au	t1	4	0.074	679	1005	2344	0	48	398	32	1309
vowels.wav	28	au	t1	5	0.084	709	969	2398	0	163	801	16	319
vowels.wav	28	au	t1	6	0.094	686	1010	2366	0	37	403	31	1240
vowels.wav	28	au	t1	7	0.103	660	996	2321	0	38	414	31	1176
vowels.wav	28	au	t1	8	0.113	670	964	2305	0	49	476	27	902
vowels.wav	28	au	t1	9	0.123	686	933	2324	0	55	541	25	747
vowels.wav	28	au	t1	10	0.133	674	925	2331	0	72	561	23	667
vowels.wav	28	au	t1	11	0.142	679	932	2320	0	75	602	24	660
