File_name	Seg_num	Seg	Syll	t	t_m	F1	F2	F3	F4	COG	sdev	skew	kurt	
vowels.wav	50	ou	t1	1	0.045	514	1261	0	0	11249	5428	-1	-0.2
vowels.wav	50	ou	t1	2	0.056	537	1191	0	0	17167	6260	-2	2
vowels.wav	50	ou	t1	3	0.067	538	1030	0	0	401	1161	12	161
vowels.wav	50	ou	t1	4	0.077	537	1010	0	0	16	151	88	9598
vowels.wav	50	ou	t1	5	0.088	534	944	0	0	40	407	31	1235
vowels.wav	50	ou	t1	6	0.099	525	911	0	0	25	353	36	1634
vowels.wav	50	ou	t1	7	0.110	521	913	0	0	30	384	33	1397
vowels.wav	50	ou	t1	8	0.120	514	913	0	0	46	483	27	885
vowels.wav	50	ou	t1	9	0.131	500	902	0	0	69	591	22	596
vowels.wav	50	ou	t1	10	0.142	485	884	0	0	77	641	21	551
vowels.wav	50	ou	t1	11	0.152	471	873	0	0	217	882	15	272
vowels.wav	50	ou	t1	12	0.163	457	861	0	0	272	1068	13	194
vowels.wav	50	ou	t1	13	0.174	440	849	0	0	514	1510	9	92
vowels.wav	50	ou	t1	14	0.184	424	839	0	0	327	1190	11	147
vowels.wav	50	ou	t1	15	0.195	413	830	0	0	337	1110	12	179
vowels.wav	50	ou	t1	16	0.206	402	821	0	0	259	1014	13	216
vowels.wav	50	ou	t1	17	0.216	396	816	0	0	193	935	16	279
vowels.wav	50	ou	t1	18	0.227	392	801	0	0	516	1320	10	126
vowels.wav	50	ou	t1	19	0.238	386	789	0	0	382	1149	12	171
vowels.wav	50	ou	t1	20	0.249	378	770	0	0	584	1388	9	111
vowels.wav	50	ou	t1	21	0.259	372	760	0	0	599	1616	9	86
vowels.wav	50	ou	t1	22	0.270	368	753	0	0	701	1749	8	76
vowels.wav	50	ou	t1	23	0.281	365	747	0	0	626	1719	9	80
vowels.wav	50	ou	t1	24	0.291	362	743	0	0	535	1278	11	143
vowels.wav	50	ou	t1	25	0.302	362	738	0	0	257	795	18	374
vowels.wav	50	ou	t1	26	0.313	366	741	0	0	304	823	16	324
vowels.wav	50	ou	t1	27	0.323	371	743	0	0	342	1145	13	199
vowels.wav	50	ou	t1	28	0.334	376	741	0	0	434	1140	13	200
vowels.wav	50	ou	t1	29	0.345	377	722	0	0	384	1066	13	210
vowels.wav	50	ou	t1	30	0.355	383	700	0	0	404	1255	12	164
vowels.wav	52	ou	t1	1	0.046	474	1246	2276	0	11381	5616	-1	-0.3
vowels.wav	52	ou	t1	2	0.057	512	1021	2286	0	19661	2222	-7	52
vowels.wav	52	ou	t1	3	0.068	521	997	2369	0	242	990	13	203
vowels.wav	52	ou	t1	4	0.080	516	992	2391	0	89	496	26	843
vowels.wav	52	ou	t1	5	0.091	514	987	2415	0	20	332	39	1866
vowels.wav	52	ou	t1	6	0.103	511	992	2418	0	20	353	37	1685
vowels.wav	52	ou	t1	7	0.114	509	989	2429	0	33	435	30	1102
vowels.wav	52	ou	t1	8	0.125	504	951	2427	0	22	341	38	1776
vowels.wav	52	ou	t1	9	0.137	497	864	2374	0	42	467	29	1027
vowels.wav	52	ou	t1	10	0.148	483	826	2388	0	178	797	17	331
vowels.wav	52	ou	t1	11	0.159	464	816	2364	0	253	995	14	230
vowels.wav	52	ou	t1	12	0.171	448	821	2337	0	449	1389	10	111
vowels.wav	52	ou	t1	13	0.182	436	816	2322	0	300	1051	12	182
vowels.wav	52	ou	t1	14	0.193	425	805	2310	0	351	1054	13	199
vowels.wav	52	ou	t1	15	0.205	425	801	2344	0	225	954	14	249
vowels.wav	52	ou	t1	16	0.216	412	773	2339	0	196	953	15	268
vowels.wav	52	ou	t1	17	0.228	399	764	2325	0	545	1332	10	124
vowels.wav	52	ou	t1	18	0.239	388	772	2339	0	375	1114	13	188
vowels.wav	52	ou	t1	19	0.250	376	785	2324	0	484	1256	10	134
vowels.wav	52	ou	t1	20	0.262	368	768	2282	0	549	1440	10	116
vowels.wav	52	ou	t1	21	0.273	362	771	2302	0	661	1825	8	72
vowels.wav	52	ou	t1	22	0.284	352	783	2379	0	573	1656	9	83
vowels.wav	52	ou	t1	23	0.296	335	775	2321	0	516	1271	11	134
vowels.wav	52	ou	t1	24	0.307	325	727	2314	0	331	924	14	246
vowels.wav	52	ou	t1	25	0.318	317	713	2299	0	336	946	16	286
